MUNICIPIOS;Ano 2016;Ano 2017;Ano 2018;Ano 2019;Total
ABAETETUBA;15208;16305;17076;17480;66069
ABEL FIGUEIREDO;662;664;652;616;2594
ACARA;1257;1314;1380;1427;5378
AFUA;3;2;1;2;8
AGUA AZUL DO NORTE;1506;1524;1321;1319;5670
ALENQUER;2666;2907;3034;3120;11727
ALMEIRIM;1829;1374;1142;1154;5499
ALTAMIRA;33288;34215;34353;34356;136212
ANAJAS;89;91;94;91;365
ANANINDEUA;107512;114488;120135;123899;466034
ANAPU;1160;1421;1592;1790;5963
AUGUSTO CORREA;1075;1168;1254;1276;4773
AURORA DO PARA;1275;1276;1265;1316;5132
AVEIRO;57;47;43;31;178
BAGRE;39;47;47;57;190
BAIAO;524;524;542;600;2190
BANNACH;282;249;234;258;1023
BARCARENA;14374;15598;16587;17340;63899
BELEM;390838;404835;413948;416790;1626411
BELTERRA;1895;2115;2202;2262;8474
BENEVIDES;7225;7867;8308;8665;32065
BOM JESUS DO TOCANTINS;1055;1066;1060;1066;4247
BONITO;799;946;1029;1064;3838
BRAGANCA;11351;11969;12420;12681;48421
BRASIL NOVO;2017;2055;2106;2140;8318
BREJO GRANDE DO ARAGUAIA;494;509;495;491;1989
BREU BRANCO;3858;4100;4295;4404;16657
BREVES;2845;2973;3138;3295;12251
BUJARU;923;980;1041;1052;3996
CACHOEIRA DO ARARI;257;254;266;263;1040
CACHOEIRA DO PIRIA;646;698;755;748;2847
CAMETA;3070;3172;3289;3480;13011
CANAA DO CARAJAS;13160;14471;15269;15881;58781
CAPANEMA;18277;20314;22001;23421;84013
CAPITAO POCO;3347;3880;3818;3912;14957
CASTANHAL;47582;49593;51593;53038;201806
CHAVES;3;2;2;2;9
COLARES;241;267;283;295;1086
CONCEICAO DO ARAGUAIA;9530;9532;8830;9029;36921
CONCORDIA DO PARA;784;753;773;768;3078
CUMARU DO NORTE;300;315;330;339;1284
CURIONOPOLIS;3815;4835;5449;5236;19335
CURRALINHO;100;98;101;102;401
CURUA;135;147;155;158;595
CURUCA;1430;1536;1624;1688;6278
DOM ELISEU;11887;10979;9143;8707;40716
ELDORADO DOS CARAJAS;2697;2913;3031;3189;11830
FARO;24;26;25;27;102
FLORESTA DO ARAGUAIA;1614;1671;1787;1628;6700
GARRAFAO DO NORTE;773;845;879;883;3380
GOIANESIA;1838;1855;1877;1934;7504
GURUPA;240;352;322;275;1189
IGARAPE-ACU;3162;3558;3889;3875;14484
IGARAPE-MIRI;2195;2327;2408;2475;9405
INHANGAPI;634;665;695;716;2710
IPIXUNA DO PARA;1549;1582;1538;1518;6187
IRITUIA;809;864;910;938;3521
ITAITUBA;23200;24825;26032;26587;100644
ITUPIRANGA;4406;4363;4082;3918;16769
JACAREACANGA;326;322;343;376;1367
JACUNDA;5930;5811;5610;5573;22924
JURUTI;1707;1868;1935;1970;7480
LIMOEIRO DO AJURU;165;187;194;198;744
MAE DO RIO;4829;4515;4562;4906;18812
MAGALHAES BARATA;183;189;204;208;784
MARABA;86590;89496;90682;91624;358392
MARACANA;543;571;641;679;2434
MARAPANIM;900;1006;1054;1083;4043
MARITUBA;15288;16579;17663;18335;67865
MEDICILANDIA;2086;2346;2536;2584;9552
MELGACO;41;46;43;45;175
MOCAJUBA;788;799;808;837;3232
MOJU;3886;4136;4303;4311;16636
MOJUI DOS CAMPOS;6;42;66;92;206
MONTE ALEGRE;5835;6215;6350;6423;24823
MUANA;430;408;411;431;1680
NOVA ESPERANCA DO PIRIA;303;328;371;457;1459
NOVA IPIXUNA;1475;1434;1406;1382;5697
NOVA TIMBOTEUA;1201;1330;1406;1451;5388
NOVO PROGRESSO;6339;6800;6772;6794;26705
NOVO REPARTIMENTO;5127;5285;5272;5340;21024
OBIDOS;2597;2766;2935;3008;11306
OEIRAS DO PARA;234;220;4685;235;5374
ORIXIMINA;4107;4368;1279;4814;14568
OUREM;1136;1272;5736;1297;9441
OURILANDIA DO NORTE;8806;8149;2015;5654;24624
PACAJA;1821;1938;2015;2059;7833
PALESTINA DO PARA;266;275;266;250;1057
PARAGOMINAS;33330;34486;33983;34261;136060
PARAUAPEBAS;67286;72260;75464;77481;292491
PAU D'ARCO;735;780;788;803;3106
PEIXE-BOI;627;693;723;768;2811
PICARRA;532;525;494;452;2003
PLACAS;695;690;657;603;2645
PONTA DE PEDRAS;385;390;383;394;1552
PORTEL;397;394;416;428;1635
PORTO DE MOZ;312;316;321;331;1280
PRAINHA;364;357;356;363;1440
PRIMAVERA;825;881;928;969;3603
QUATIPURU;425;466;515;522;1928
REDENCAO;34420;34896;31702;31810;132828
RIO MARIA;3631;3649;3219;3253;13752
RONDON DO PARA;6447;6645;6644;6650;26386
RUROPOLIS;1865;2037;2159;2374;8435
SALINOPOLIS;4592;4972;5059;5273;19896
SALVATERRA;794;862;890;937;3483
SANTA BARBARA DO PARA;1396;1577;1713;1835;6521
SANTA CRUZ DO ARARI;43;43;44;38;168
SANTA ISABEL DO PARA;11175;12266;12941;13750;50132
SANTA LUZIA DO PARA;1558;1635;1720;1752;6665
SANTA MARIA DAS BARREIRAS;754;784;808;853;3199
SANTA MARIA DO PARA;1758;1619;1576;1547;6500
SANTANA DO ARAGUAIA;3860;4053;3826;3987;15726
SANTAREM;80517;85417;88633;90111;344678
SANTAREM NOVO;335;365;382;387;1469
SANTO ANTONIO DO TAUA;2168;2329;2513;2687;9697
SAO CAETANO DE ODIVELAS;673;686;715;726;2800
SAO DOMINGOS DO ARAGUAIA;3542;3692;3656;3575;14465
SAO DOMINGOS DO CAPIM;663;681;711;729;2784
SAO FELIX DO XINGU;4603;4714;4599;4712;18628
SAO FRANCISCO DO PARA;1302;1401;1483;1516;5702
SAO GERALDO DO ARAGUAIA;4152;4135;3758;3621;15666
SAO JOAO DA PONTA;193;198;204;221;816
SAO JOAO DE PIRABAS;895;977;1038;1071;3981
SAO JOAO DO ARAGUAIA;697;721;766;790;2974
SAO MIGUEL DO GUAMA;3792;3967;4081;4147;15987
SAO SEBASTIAO DA BOA VISTA;58;59;61;66;244
SAPUCAIA;627;654;586;608;2475
SENADOR JOSE PORFIRIO;349;408;420;456;1633
SOURE;995;1022;1036;1070;4123
TAILANDIA;6793;7089;7385;7729;28996
TERRA ALTA;836;903;928;967;3634
TERRA SANTA;600;646;704;702;2652
TOME-ACU;4629;5002;5316;5677;20624
TRACUATEUA;968;1066;1141;1131;4306
TRAIRAO;906;986;1027;1051;3970
TUCUMA;9980;9875;8880;9001;37736
TUCURUI;23042;23864;24473;24533;95912
ULIANOPOLIS;3169;3099;2610;2451;11329
URUARA;3211;3380;3480;3595;13666
VIGIA;2945;3126;3311;3385;12767
VISEU;939;1039;1096;1072;4146
VITORIA DO XINGU;1741;2063;2245;2263;8312
XINGUARA;22272;21510;16094;16020;75896
PARÁ;1292554;1350372;1374174;1394992;5412092
